job_id,salary_in_usd
job_838,196000
job_839,204500
job_840,142200
job_841,185900
job_842,129300
job_843,47280
job_844,37824
job_845,204500
job_846,142200
job_847,205000
job_848,185000
job_849,185900
job_850,129300
job_851,247500
job_852,172200
job_853,160000
job_854,135000
job_855,150000
job_856,100000
job_857,110000
job_858,95000
job_859,185900
job_860,129300
job_861,205000
job_862,184000
job_863,17684
job_864,375000
job_865,191200
job_866,130000
job_867,225000
job_868,156400
job_869,169000
job_870,110600
job_871,204500
job_872,142200
job_873,104663
job_874,80036
job_875,185900
job_876,129300
job_877,140700
job_878,93800
job_879,350000
job_880,135000
job_881,115934
job_882,81666
job_883,104697
job_884,33000
job_885,34672
job_886,201000
job_887,119000
job_888,175000
job_889,150000
job_890,154560
job_891,123648
job_892,130000
job_893,100000
job_894,170000
job_895,145000
job_896,135000
job_897,100000
job_898,247500
job_899,172200
job_900,177500
job_901,134000
job_902,185900
job_903,129300
job_904,192564
job_905,144854
job_906,130000
job_907,105000
job_908,179305
job_909,142127
job_910,315000
job_911,225000
job_912,243900
job_913,156600
job_914,206000
job_915,160000
job_916,109000
job_917,79000
job_918,160000
job_919,109000
job_920,89306
job_921,182500
job_922,128500
job_923,160000
job_924,90000
job_925,77300
job_926,45600
job_927,127000
job_928,110000
job_929,210000
job_930,136000
job_931,170000
job_932,140000
job_933,247500
job_934,172200
job_935,225000
job_936,184100
job_937,130000
job_938,90000
job_939,120000
job_940,100000
job_941,85000
job_942,78000
job_943,161000
job_944,110000
job_945,136000
job_946,104000
job_947,47280
job_948,37824
job_949,205000
job_950,160000
job_951,169000
job_952,110600
job_953,61566
job_954,49253
job_955,160000
job_956,130000
job_957,245000
job_958,180000
job_959,135000
job_960,100000
job_961,220000
job_962,150000
job_963,198440
job_964,144000
job_965,240000
job_966,170000
job_967,198440
job_968,144000
job_969,150000
job_970,100000
job_971,120000
job_972,95000
job_973,57872
job_974,64000
job_975,39925
job_976,187200
job_977,116100
job_978,150000
job_979,127000
job_980,275000
job_981,166000
job_982,159699
job_983,138938
job_984,76000
job_985,166700
job_986,119000
job_987,130000
job_988,100000
job_989,103432
job_990,92350
job_991,80000
job_992,52500
job_993,236000
job_994,182000
job_995,180000
job_996,140000
job_997,225000
job_998,156400
job_999,135000
job_1000,100000
job_1001,204500
job_1002,142200
job_1003,240000
job_1004,125404
job_1005,300000
job_1006,130000
job_1007,195000
job_1008,175000
job_1009,155000
job_1010,110000
job_1011,123000
job_1012,92250
job_1013,170000
job_1014,150000
job_1015,180000
job_1016,100000
job_1017,97000
job_1018,90000
job_1019,200000
job_1020,160000
job_1021,210000
job_1022,180000
job_1023,260000
job_1024,180000
job_1025,210000
job_1026,157000
job_1027,180000
job_1028,100000
job_1029,80000
job_1030,52500
job_1031,128000
job_1032,81500
job_1033,105000
job_1034,70000
job_1035,175000
job_1036,122500
job_1037,171000
job_1038,117000
job_1039,202800
job_1040,104300
job_1041,50432
job_1042,36773
job_1043,197000
job_1044,99000
job_1045,160000
job_1046,110000
job_1047,185900
job_1048,129300
job_1049,30000
job_1050,78000
job_1051,48000
job_1052,170000
job_1053,130000
job_1054,150000
job_1055,95000
job_1056,78000
job_1057,42000
job_1058,345600
job_1059,230400
job_1060,145000
job_1061,115000
job_1062,78000
